fecha;trimestre;anio;organizacion;ambito;derecho;accion
4/17/2017;2;2017;Lideres Profesionales - Coban;Civil;A la Salud;Acompanamiento judicial
11/8/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acciones judiciales
4/27/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acciones judiciales
4/27/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A el seguro social;Acciones judiciales
10/10/2016;4;2016;Lideres Profesionales - Sede Central;Administrativo;A la integridad personal;Acciones judiciales
4/28/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A el seguro social;Acciones judiciales
11/2/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
11/20/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
11/23/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
12/7/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
12/16/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Elaboracion de documentacion
12/16/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Elaboracion de documentacion
12/28/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
4/28/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
1/10/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
1/11/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Conciliacion
1/11/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Elaboracion de documentacion
1/13/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
2/22/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
4/24/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Elaboracion de documentacion
4/24/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
1/17/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Conciliacion
1/31/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Conciliacion
2/6/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
2/7/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
2017-05-00;2;2017;Lideres Profesionales - Sede Central;Administrativo;A el seguro social;Acciones judiciales
1/17/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Conciliacion
2/22/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
2/5/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
11/9/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
12/15/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
12/27/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
12/16/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
12/15/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
12/29/2016;4;2016;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
3/2/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
3/2/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
2/3/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Acompanamiento judicial
12/28/2016;4;2016;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
12/30/2016;4;2016;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
12/27/2016;4;2016;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
12/29/2016;4;2016;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
12/30/2016;4;2016;Lideres Profesionales - Sede Central;Penal;Al trabajo;Conciliacion
1/2/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
2/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
2/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
2/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
2/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Conciliacion
2/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
2/21/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
2/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
2/21/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A el seguro social;Acompanamiento judicial
2/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
1/6/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
2/24/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
2/21/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A el seguro social;Acompanamiento judicial
2/21/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Acompanamiento judicial
2/24/2017;1;2017;Lideres Profesionales - Sede Central;Administrativo;A la integridad personal;Acompanamiento judicial
5/3/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A el seguro social;Acciones judiciales
2/21/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
2/21/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la vida;Medios de comunicacion
2/22/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Procuracion
10/31/2016;4;2016;Lideres Profesionales - Sede Central;Administrativo;A la justicia;Elaboracion de documentacion
10/31/2017;4;2017;Lideres Profesionales - Sede Central;Administrativo;A la justicia;Procuracion
2/10/2017;1;2017;Lideres Profesionales - Sede Central;Constitucional;A la identidad;Definicion de ruta a seguir
2/13/2017;1;2017;Lideres Profesionales - Sede Central;Constitucional;A la identidad;Acciones judiciales
2/17/2017;1;2017;Lideres Profesionales - Sede Central;Constitucional;A la identidad;Elaboracion de documentacion
2/14/2017;1;2017;Lideres Profesionales - Sede Central;Constitucional;A la identidad;Procuracion
3/9/2017;1;2017;Lideres Profesionales - Sede Central;Constitucional;A la identidad;Elaboracion de documentacion
3/9/2017;1;2017;Lideres Profesionales - Sede Central;Constitucional;A la identidad;Procuracion
2/23/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Llamada telefonica
2/28/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
3/1/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Recoleccion de medios de prueba
3/3/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Referencia
2/28/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Llamada telefonica
3/1/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Recoleccion de medios de prueba
3/9/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Llamada telefonica
3/10/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Llamada telefonica
3/20/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
2/16/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
3/7/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
3/13/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Recoleccion de medios de prueba
3/15/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento judicial
3/28/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento judicial
4/17/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
4/21/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Elaboracion de documentacion
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Procuracion
3/13/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;A la no discriminacion;Definicion de ruta a seguir
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;A la no discriminacion;Recoleccion de medios de prueba
4/6/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;A la no discriminacion;Definicion de ruta a seguir
3/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Recoleccion de medios de prueba
3/27/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
4/4/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Medios de comunicacion
5/12/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Recoleccion de medios de prueba
3/29/2017;1;2017;Lideres Profesionales - Sede Central;Civil;A la Salud;Definicion de ruta a seguir
4/4/2017;2;2017;Lideres Profesionales - Sede Central;Civil;A la Salud;Mediacion
3/30/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Definicion de ruta a seguir
4/3/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Definicion de ruta a seguir
4/5/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Definicion de ruta a seguir
4/7/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;A el seguro social;Conciliacion
4/10/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Elaboracion de documentacion
2/24/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Definicion de ruta a seguir
2/24/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Acompanamiento judicial
3/2/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Elaboracion de documentacion
3/2/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Elaboracion de documentacion
3/15/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Procuracion
3/15/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Procuracion
4/25/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
4/27/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Recoleccion de medios de prueba
5/3/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Definicion de ruta a seguir
4/26/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
4/26/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Medios de comunicacion
4/29/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
4/29/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
5/4/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
5/4/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Definicion de ruta a seguir
5/8/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
5/11/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento judicial
3/28/2017;1;2017;Lideres Profesionales - Sede Central;Civil;A la justicia;Llamada telefonica
3/29/2017;1;2017;Lideres Profesionales - Sede Central;Civil;A la no discriminacion;Referencia
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Definicion de ruta a seguir
3/1/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la confidencialidad;Definicion de ruta a seguir
4/3/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la confidencialidad;Acompanamiento judicial
4/4/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la confidencialidad;Definicion de ruta a seguir
4/7/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la confidencialidad;Procuracion
4/19/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la confidencialidad;Recoleccion de medios de prueba
4/24/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la confidencialidad;Recoleccion de medios de prueba
3/1/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
3/1/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Recoleccion de medios de prueba
3/7/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
3/21/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
4/4/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
3/1/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Definicion de ruta a seguir
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento judicial
3/22/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Procuracion
4/4/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento judicial
4/5/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
4/7/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento judicial
4/17/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento judicial
4/19/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento judicial
12/10/2016;4;2016;Red Legal DH VIH;Administrativo;A la Salud;Elaboracion de documentacion
0000-00-00;1;0;Red Legal DH VIH;Administrativo;A la Salud;Definicion de ruta a seguir
0000-00-00;1;0;Red Legal DH VIH;Administrativo;A la Salud;Definicion de ruta a seguir
0000-00-00;1;0;Red Legal DH VIH;Administrativo;A la Salud;Definicion de ruta a seguir
10/10/2016;4;2016;Red Legal DH VIH;Administrativo;A la integridad personal;Definicion de ruta a seguir
12/10/2016;4;2016;Red Legal DH VIH;Administrativo;A la Salud;Elaboracion de documentacion
2/28/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Llamada telefonica
0000-00-00;1;0;Red Legal DH VIH;Administrativo;A la integridad personal;Definicion de ruta a seguir
0000-00-00;1;0;Lideres Profesionales - Sede Central;Administrativo;A la no discriminacion;Definicion de ruta a seguir
4/24/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento judicial
3/3/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
3/13/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Llamada telefonica
3/3/2017;1;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
5/12/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la vida;Recoleccion de medios de prueba
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la vida;Procuracion
12/1/2017;4;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Llamada telefonica
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Llamada telefonica
1/9/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Llamada telefonica
2/20/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Llamada telefonica
3/14/2017;1;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Llamada telefonica
4/24/2017;2;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Llamada telefonica
5/16/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
5/17/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
5/30/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
5/17/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
5/24/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
5/25/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
5/22/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A el seguro social;Definicion de ruta a seguir
5/8/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento judicial
5/10/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A el seguro social;Procuracion
6/1/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la integridad personal;Acompanamiento judicial
5/17/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Recoleccion de medios de prueba
5/2/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la integridad personal;Acompanamiento judicial
5/19/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Procuracion
5/19/2017;2;2017;Lideres Profesionales - Sede Central;Penal;Al trabajo;Procuracion
5/22/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A el seguro social;Procuracion
6/1/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Procuracion
5/22/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Procuracion
6/1/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento a instancias administrativas
5/24/2017;2;2017;Lideres Profesionales - Sede Central;Civil;A la informacion;Acciones notariales 
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Elaboracion de documentacion
6/2/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Elaboracion de documentacion
6/6/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;A el seguro social;Mediacion
6/23/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;A el seguro social;Conciliacion
6/28/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Conciliacion
0000-00-00;1;0;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Conciliacion
6/28/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Procuracion
6/28/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Procuracion
6/28/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Procuracion
6/28/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Procuracion
6/28/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Conciliacion
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
0000-00-00;1;0;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
1/1/2017;1;2017;Lideres Profesionales - Sede Central;Civil;A la educacion;Conciliacion
6/23/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento a instancias administrativas
6/9/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Definicion de ruta a seguir
9/6/2017;4;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Elaboracion de documentacion
6/9/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Definicion de ruta a seguir
7/5/2017;3;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Elaboracion de documentacion
7/5/2017;3;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento a instancias administrativas
6/9/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento a instancias administrativas
6/12/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Definicion de ruta a seguir
6/13/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento a instancias administrativas
7/5/2017;3;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Recoleccion de medios de prueba
6/12/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Definicion de ruta a seguir
6/14/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Recoleccion de medios de prueba
6/21/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Elaboracion de documentacion
6/23/2017;2;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Procuracion
6/13/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;Al trabajo;Acompanamiento a instancias administrativas
6/19/2017;2;2017;Lideres Profesionales - Sede Central;Civil;A la informacion;Definicion de ruta a seguir
0000-00-00;1;0;Lideres Profesionales - Sede Central;Civil;A una familia y comunidad;Definicion de ruta a seguir
6/23/2017;2;2017;Lideres Profesionales - Sede Central;Civil;A una familia y comunidad;Recoleccion de medios de prueba
6/21/2017;2;2017;Lideres Profesionales - Sede Central;Civil;A una familia y comunidad;Definicion de ruta a seguir
7/5/2017;3;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento a instancias administrativas
6/27/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Definicion de ruta a seguir
6/27/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Definicion de ruta a seguir
6/26/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Llamada telefonica
6/26/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Llamada telefonica
6/29/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Definicion de ruta a seguir
7/4/2017;3;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Definicion de ruta a seguir
7/5/2017;3;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Procuracion
0000-00-00;1;0;Lideres Profesionales - Sede Central;Administrativo;A la informacion;Elaboracion de documentacion
8/1/2017;3;2017;Lideres Profesionales - Sede Central;Administrativo;A la informacion;Elaboracion de documentacion
8/1/2018;3;2018;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Llamada telefonica
8/1/2017;3;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento a instancias administrativas
1/8/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento a instancias administrativas
